Source,Target,Type,Id,Label,Weight,d1
Yu-Gi-Oh! Zexal Ii Season 3,Aoi Yuki,Directed,20093,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Ayana Taketatsu,Directed,20094,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Gō Zappa,Directed,20095,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Hideaki Takatori,Directed,20096,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Hulu,Directed,20097,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Japanese Language,Directed,20098,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Jump Force,Directed,20099,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Jump Super Stars,Directed,20100,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Jump Ultimate Stars,Directed,20101,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Kazuki Takahashi,Directed,20102,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Konami Cross Media Ny,Directed,20103,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Mitsutaka Hirota,Directed,20104,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,National Pearl Harbor Remembrance Day,Directed,20105,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Nihon Ad Systems,Directed,20106,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Seto Kaiba,Directed,20107,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Shin Yoshida,Directed,20108,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Studio Gallop,Directed,20109,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Tv Tokyo,Directed,20110,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,The Cw,Directed,20111,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Theme Music,Directed,20112,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Touko Machida,Directed,20113,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Vistlip,Directed,20114,,1,0
